94502,"1,136,820",-3.4
95403,"711,291",-3.4
95403,"711,291",-3.4
94569,"646,033",-3.5
94946,"2,032,184",-3.5
94965,"1,457,477",-3.5
94954,"812,516",-3.5
94954,"812,516",-3.5
95002,"1,208,955",-3.6
94021,"1,079,838",-3.6
94021,"1,079,838",-3.6
94705,"1,876,879",-3.6
94124,"858,737",-3.6
94939,"2,038,209",-3.6
95497,"1,351,952",-3.6
94574,"1,622,444",-3.6
94576,"1,623,881",-3.6
95497,"1,351,952",-3.6
94703,"1,194,694",-3.7
94513,"786,512",-3.7
94530,"1,082,941",-3.7
94556,"1,563,962",-3.7
94558,"888,064",-3.7
94546,"994,279",-3.8
95448,"1,070,073",-3.8
94508,"892,750",-3.8
95448,"1,070,073",-3.8
94578,"765,160",-3.9
94904,"2,093,360",-3.9
94940,"1,375,875",-3.9
94014,"966,000",-4
94015,"1,116,745",-4
94014,"966,000",-4
94015,"1,116,745",-4
94501,"1,094,508",-4
94536,"1,390,136",-4
94518,"830,511",-4
94950,"1,446,338",-4
94923,"1,373,263",-4
94923,"1,373,263",-4
95472,"1,047,833",-4.1
95472,"1,047,833",-4.1
95123,"1,319,387",-4.2
95134,"1,060,528",-4.2
94956,"1,463,980",-4.2
95407,"616,728",-4.2
95430,"1,044,898",-4.2
95407,"616,728",-4.2
95430,"1,044,898",-4.2
94521,"763,776",-4.3
94553,"753,213",-4.3
94517,"1,010,701",-4.4
94591,"581,334",-4.4
95116,"913,853",-4.5
94580,"798,515",-4.5
94585,"521,647",-4.5
95126,"1,162,853",-4.6
95131,"1,305,865",-4.6
94538,"1,291,046",-4.6
95401,"636,031",-4.6
95401,"636,031",-4.6
95119,"1,370,286",-4.7
94542,"1,207,526",-4.7
94708,"1,503,759",-4.7
94592,"713,790",-4.7
94561,"649,478",-4.9
95476,"973,726",-4.9
95476,"973,726",-4.9
95112,"980,796",-5
94579,"837,246",-5
94506,"1,989,794",-5
94511,"612,044",-5
94103,"752,481",-5
95122,"965,170",-5.1
94702,"1,094,300",-5.1
94801,"504,975",-5.1
94970,"3,259,665",-5.1
95441,"1,086,098",-5.1
95441,"1,086,098",-5.1
94577,"785,888",-5.2
94559,"788,455",-5.2
94611,"1,306,432",-5.3
94515,"1,029,585",-5.3
94565,"556,842",-5.4
94519,"693,962",-5.5
95442,"1,181,377",-5.5
95442,"1,181,377",-5.5
94589,"498,561",-5.5
94560,"1,208,398",-5.6
94618,"1,511,283",-5.7
95133,"1,123,152",-5.8
94550,"1,190,178",-5.8
94526,"1,697,915",-5.8
95431,"1,176,134",-5.8
95431,"1,176,134",-5.8
95127,"1,071,395",-5.9
94541,"763,079",-5.9
94587,"1,215,411",-6
94710,"973,355",-6
94509,"551,498",-6
95110,"821,957",-6.1
94804,"561,408",-6.3
95436,"618,828",-6.3
95436,"618,828",-6.3
94590,"449,843",-6.3
94547,"733,600",-6.4
94564,"706,218",-6.4
95462,"518,163",-6.6
95462,"518,163",-6.6
94568,"1,278,969",-6.7
94602,"928,833",-6.8
94805,"667,208",-6.8
94566,"1,670,750",-7
95471,"508,869",-7
95471,"508,869",-7
94520,"587,274",-7.2
95446,"509,907",-7.2
95446,"509,907",-7.2
94586,"1,406,236",-7.3
94595,"674,467",-7.3
94583,"1,361,394",-7.4
94806,"567,332",-7.4
94544,"817,398",-7.7
94619,"797,657",-7.7
94803,"717,471",-7.8
94545,"884,802",-7.9
94588,"1,386,467",-8
94567,"431,770",-8
94610,"1,115,659",-8.2
94621,"446,545",-8.6
94601,"543,864",-8.7
94603,"501,929",-9.1
94924,"1,756,378",-9.2
95480,"790,065",-9.2
95480,"790,065",-9.2
94605,"640,973",-9.5
94572,"633,298",-9.5
94525,"649,016",-10.3
94606,"583,268",-10.5
95412,"939,511",-10.9
95412,"939,511",-10.9
94608,"592,749",-12.2
94609,"899,450",-12.2
94607,"527,428",-12.3
94612,"553,471",-12.3
